country,Observed_case_last_week,Predicted_True_case_last_week_50,Predicted_True_case_last_week_025,Predicted_True_case_last_week_975,deaths_to_reported_ratio_50,deaths_to_reported_ratio_025,deaths_to_reported_ratio_975,estimated_reporting_50,estimated_reporting_025,estimated_reporting_975
Algeria,891,27363,23160.75,32153.074999999997,0.553,0.482,0.622,0.025,0.021,0.03
Argentina,706,5000,3976,6268.025,0.062,0.041,0.089,0.221,0.152,0.337
Austria,3475,8954,7808,10297,0.028,0.023,0.033,0.494,0.402,0.608
Belgium,9297,171828,153370.05000000002,193032.12499999997,0.24,0.227,0.253,0.057,0.051,0.065
Brazil,6374,67498.5,59804.85,76427.075,0.155,0.14,0.171,0.089,0.076,0.103
Canada,8496,40961,35750.85,46985.049999999996,0.067,0.058,0.077,0.205,0.171,0.245
China,516,2799.5,2303.975,3409.0249999999996,0.05,0.034,0.07,0.273,0.192,0.407
Czech_Republic,1809,4975,4174,5913.025,0.041,0.031,0.053,0.336,0.253,0.457
Denmark,1876,17709.5,15309,20467,0.146,0.121,0.174,0.094,0.077,0.117
Dominican_Republic,859,21535,18324.975000000002,25388.324999999997,0.128,0.097,0.163,0.108,0.082,0.145
Ecuador,1630,13236,11390.925,15470.05,0.119,0.101,0.139,0.115,0.095,0.141
Egypt,449,5062,4088.925,6289.025,0.159,0.115,0.211,0.087,0.064,0.122
France,31030,581004,520116.3,650307.825,0.317,0.309,0.324,0.043,0.039,0.049
Germany,39167,93605.5,83482.84999999999,105288.34999999999,0.036,0.034,0.038,0.383,0.337,0.435
Greece,612,3736,3071.975,4523.025,0.089,0.064,0.12,0.154,0.112,0.218
India,2395,19983,16809.975,23713.024999999998,0.107,0.081,0.136,0.128,0.099,0.172
Indonesia,937,15358.5,13245.9,17819.075,0.151,0.123,0.181,0.091,0.074,0.114
Iran,20335,160719,143548.84999999998,180266.19999999998,0.09,0.085,0.096,0.152,0.135,0.173
Iraq,372,4080,3203.975,5170.025,0.073,0.042,0.115,0.19,0.119,0.332
Ireland,2189,14377.5,12456,16629.025,0.087,0.071,0.103,0.159,0.13,0.199
Israel,4399,6636.5,5520.975,8081,0.019,0.013,0.026,0.729,0.527,1
Italy,32160,390799.5,350399.625,437668.52499999997,0.141,0.137,0.144,0.098,0.087,0.109
Japan,1578,5666,4445.950000000001,7158.025,0.044,0.027,0.066,0.312,0.204,0.521
Luxembourg,898,1679,1346,2080,0.013,0.007,0.022,1,0.632,1
Malaysia,1163,2495.5,2047,3028.0499999999993,0.029,0.02,0.041,0.47,0.333,0.693
Mexico,1042,10414,8679.974999999999,12405.074999999999,0.163,0.128,0.202,0.084,0.066,0.11
Morocco,561,12279,10083,14820,0.203,0.148,0.266,0.068,0.051,0.094
Netherlands,6865,132839,118304,149551.025,0.226,0.215,0.239,0.061,0.054,0.069
Norway,1665,2340,1984,2808.0249999999996,0.02,0.014,0.028,0.678,0.479,1
Panama,900,6206,5135,7515,0.064,0.044,0.09,0.214,0.15,0.316
Peru,1075,9719.5,8159.925,11614.05,0.164,0.128,0.206,0.084,0.065,0.11
Philippines,2019,33865,28824.899999999998,39748.025,0.168,0.135,0.204,0.082,0.066,0.104
Poland,1989,9611,8088,11368.05,0.079,0.061,0.099,0.175,0.135,0.231
Portugal,5354,38846.5,34118.95,44298.049999999996,0.068,0.058,0.078,0.203,0.17,0.245
Romania,2161,28284,24495.800000000003,32601,0.166,0.139,0.194,0.083,0.068,0.102
South_Korea,654,2547,2123,3057.0249999999996,0.045,0.031,0.061,0.308,0.22,0.45
Spain,52488,976760.5,875485.7749999999,1092317.05,0.177,0.173,0.181,0.078,0.069,0.087
Sweden,2996,41640,36787.875,47247.05,0.22,0.197,0.243,0.063,0.054,0.073
Switzerland,7337,33910.5,30079.95,38279.2,0.067,0.061,0.074,0.205,0.178,0.236
Turkey,16532,199039.5,176870.875,225178.32499999998,0.131,0.12,0.144,0.105,0.091,0.121
United_Kingdom,24814,733184.5,657110.8250000001,820866.5499999999,0.433,0.422,0.444,0.032,0.028,0.036
United_States_of_America,187572,1586448,1422111.5,1778110.7,0.101,0.099,0.104,0.136,0.121,0.152
