country,date,2.5%,50.0%,97.5%
andhra pradesh,2020-04-19,18.14%,30.53%,58.22%
assam,2020-04-19,10.10%,100.00%,100.00%
bihar,2020-04-19,8.57%,32.77%,100.00%
delhi,2020-04-19,21.40%,30.93%,46.64%
gujarat,2020-04-19,5.57%,7.37%,10.11%
himachal pradesh,2020-04-19,13.17%,100.00%,100.00%
jharkhand,2020-04-19,3.49%,11.73%,100.00%
jammu and kashmir,2020-04-19,35.96%,100.00%,100.00%
karnataka,2020-04-19,6.76%,11.48%,22.04%
kerala,2020-04-19,51.38%,100.00%,100.00%
maharashtra,2020-04-19,11.81%,14.60%,18.30%
madhya pradesh,2020-04-19,9.47%,13.20%,18.91%
odisha,2020-04-19,21.98%,100.00%,100.00%
punjab,2020-04-19,12.02%,26.90%,84.25%
rajasthan,2020-04-19,22.77%,36.86%,64.82%
telangana,2020-04-19,31.63%,60.98%,100.00%
tamil nadu,2020-04-19,73.65%,100.00%,100.00%
uttar pradesh,2020-04-19,18.49%,30.60%,55.85%
west bengal,2020-04-19,6.98%,12.95%,28.48%
