state,ncases_low,ncase_median,ncases_high
andhra pradesh,530,1101,2107.0249999999996
assam,6,17,133
bihar,53,103,542
delhi,3207,5164,7964.0999999999985
gujarat,15261.9,23182.5,33660.25
himachal pradesh,11,28,298.02499999999964
jammu and kashmir,162,274,903.0499999999993
jharkhand,140,800,2745.0999999999985
karnataka,533,1227,2597
kerala,44,44,63.024999999999636
madhya pradesh,9556.925,14055,20072.149999999998
maharashtra,33456.725,41992.5,52562.25
odisha,24,77,383.02499999999964
punjab,346.975,987,2370.074999999999
rajasthan,2269,4357.5,7592.149999999998
tamil nadu,634,849,1534.0249999999996
telangana,388,742,1558.074999999999
uttar pradesh,1051.95,2043,3902.0499999999993
west bengal,504,1408,3237.0499999999993
